Designator,Mid X,Mid Y,Rotation,Layer
C1,149.485589,-103.682182,90.0,top
C2,149.077905,-106.173535,90.0,top
C3,149.805042,-106.175351,90.0,top
D1,122.583408,-91.993728,180.0,top
D2,125.247415,-97.924541,225.0,top
D3,143.408818,-100.496092,180.0,top
R1,121.155,-92.0,180.0,top
R2,124.256048,-98.918952,225.0,top
R3,142.0,-100.5,180.0,top
U1,147.0,-103.75,90.0,top
U2,152.231589,-105.534855,180.0,top
